样本,换仓日,持有周期,持仓股票,持仓股票名称,持仓数量
全市场,20260326,2026-04,"000897.SZ,002124.SZ,002088.SZ,002247.SZ,920395.BJ","津滨发展,天邦食品,鲁阳节能,聚力文化,朗鸿科技",5
全市场,20260227,2026-03,"000897.SZ,002124.SZ,002247.SZ,600149.SH,000848.SZ","津滨发展,天邦食品,聚力文化,廊坊发展,承德露露",5
全市场,20260130,2026-02,"000897.SZ,002247.SZ,002124.SZ,601918.SH,600149.SH","津滨发展,聚力文化,天邦食品,新集能源,廊坊发展",5
全市场,20251231,2026-01,"000897.SZ,002247.SZ,002124.SZ,002355.SZ,601918.SH","津滨发展,聚力文化,天邦食品,兴民智通,新集能源",5
全市场,20251128,2025-12,"000897.SZ,002355.SZ,002247.SZ,002124.SZ,601975.SH","津滨发展,兴民智通,聚力文化,天邦食品,招商南油",5
全市场,20251031,2025-11,"000897.SZ,002124.SZ,002247.SZ,002355.SZ,601975.SH","津滨发展,天邦食品,聚力文化,兴民智通,招商南油",5
全市场,20250930,2025-10,"000897.SZ,002124.SZ,002247.SZ,002355.SZ,000848.SZ","津滨发展,天邦食品,聚力文化,兴民智通,承德露露",5
全市场,20250829,2025-09,"000897.SZ,002247.SZ,002124.SZ,601918.SH,002836.SZ","津滨发展,聚力文化,天邦食品,新集能源,新宏泽",5
全市场,20250731,2025-08,"000897.SZ,002124.SZ,601918.SH,601975.SH,002355.SZ","津滨发展,天邦食品,新集能源,招商南油,兴民智通",5
全市场,20250630,2025-07,"000897.SZ,603811.SH,002124.SZ,002247.SZ,601918.SH","津滨发展,诚意药业,天邦食品,聚力文化,新集能源",5
全市场,20250530,2025-06,"000897.SZ,603811.SH,601918.SH,002124.SZ,601975.SH","津滨发展,诚意药业,新集能源,天邦食品,招商南油",5
全市场,20250430,2025-05,"000897.SZ,603811.SH,601975.SH,601918.SH,002836.SZ","津滨发展,诚意药业,招商南油,新集能源,新宏泽",5
全市场,20250331,2025-04,"002360.SZ,000707.SZ,601065.SH,600251.SH,002154.SZ","同德化工,双环科技,江盐集团,冠农股份,报喜鸟",5
全市场,20250228,2025-03,"002360.SZ,600493.SH,002478.SZ,000822.SZ,603506.SH","同德化工,凤竹纺织,常宝股份,山东海化,南都物业",5
全市场,20250127,2025-02,"002360.SZ,002478.SZ,600493.SH,000822.SZ,603506.SH","同德化工,常宝股份,凤竹纺织,山东海化,南都物业",5
全市场,20241231,2025-01,"002360.SZ,600493.SH,002478.SZ,603506.SH,000822.SZ","同德化工,凤竹纺织,常宝股份,南都物业,山东海化",5
全市场,20241129,2024-12,"002360.SZ,002478.SZ,600493.SH,603506.SH,000822.SZ","同德化工,常宝股份,凤竹纺织,南都物业,山东海化",5
全市场,20241031,2024-11,"002360.SZ,600493.SH,002478.SZ,603506.SH,000822.SZ","同德化工,凤竹纺织,常宝股份,南都物业,山东海化",5
全市场,20240930,2024-10,"002360.SZ,600493.SH,002478.SZ,920419.BJ,603506.SH","同德化工,凤竹纺织,常宝股份,路斯股份,南都物业",5
全市场,20240830,2024-09,"002360.SZ,600493.SH,603506.SH,920419.BJ,920225.BJ","同德化工,凤竹纺织,南都物业,路斯股份,利通科技",5
全市场,20240731,2024-08,"600493.SH,002360.SZ,603506.SH,000663.SZ,000014.SZ","凤竹纺织,同德化工,南都物业,永安林业,沙河股份",5
全市场,20240628,2024-07,"600493.SH,002360.SZ,920419.BJ,000663.SZ,603506.SH","凤竹纺织,同德化工,路斯股份,永安林业,南都物业",5
全市场,20240531,2024-06,"600493.SH,002360.SZ,920419.BJ,603506.SH,002478.SZ","凤竹纺织,同德化工,路斯股份,南都物业,常宝股份",5
全市场,20240430,2024-05,"002360.SZ,600493.SH,603506.SH,002478.SZ,920419.BJ","同德化工,凤竹纺织,南都物业,常宝股份,路斯股份",5
全市场,20240329,2024-04,"603086.SH,920792.BJ,920422.BJ,603898.SH,920471.BJ","先达股份,东和新材,润普食品,好莱客,美邦科技",5
全市场,20240229,2024-03,"603086.SH,920792.BJ,603898.SH,920422.BJ,920471.BJ","先达股份,东和新材,好莱客,润普食品,美邦科技",5
全市场,20240131,2024-02,"603086.SH,920792.BJ,603898.SH,920422.BJ,002022.SZ","先达股份,东和新材,好莱客,润普食品,科华生物",5
全市场,20231229,2024-01,"603086.SH,000731.SZ,920792.BJ,920819.BJ,600790.SH","先达股份,四川美丰,东和新材,颖泰生物,轻纺城",5
全市场,20231130,2023-12,"920422.BJ,603086.SH,000731.SZ,600731.SH,920819.BJ","润普食品,先达股份,四川美丰,湖南海利,颖泰生物",5
全市场,20231031,2023-11,"920169.BJ,920273.BJ,920641.BJ,920564.BJ,920367.BJ","七丰精工,一致魔芋,格利尔,天润科技,新赣江",5
全市场,20230928,2023-10,"920564.BJ,920169.BJ,920641.BJ,603086.SH,920810.BJ","天润科技,七丰精工,格利尔,先达股份,春光智能",5
全市场,20230831,2023-09,"920566.BJ,920169.BJ,920564.BJ,603086.SH,920641.BJ","梓橦宫,七丰精工,天润科技,先达股份,格利尔",5
全市场,20230731,2023-08,"920566.BJ,920169.BJ,920564.BJ,603086.SH,002022.SZ","梓橦宫,七丰精工,天润科技,先达股份,科华生物",5
全市场,20230630,2023-07,"603898.SH,920566.BJ,920169.BJ,920564.BJ,920819.BJ","好莱客,梓橦宫,七丰精工,天润科技,颖泰生物",5
全市场,20230531,2023-06,"920169.BJ,920564.BJ,920566.BJ,920819.BJ,000529.SZ","七丰精工,天润科技,梓橦宫,颖泰生物,广弘控股",5
全市场,20230428,2023-05,"920566.BJ,920564.BJ,920169.BJ,002753.SZ,000731.SZ","梓橦宫,天润科技,七丰精工,永东股份,四川美丰",5
全市场,20230331,2023-04,"920204.BJ,920970.BJ,920299.BJ,920174.BJ,920821.BJ","沪江材料,大禹生物,灿能电力,五新隧装,则成电子",5
全市场,20230228,2023-03,"920204.BJ,920970.BJ,920299.BJ,920174.BJ,920346.BJ","沪江材料,大禹生物,灿能电力,五新隧装,威贸电子",5
全市场,20230131,2023-02,"920204.BJ,920970.BJ,920346.BJ,920174.BJ,600382.SH","沪江材料,大禹生物,威贸电子,五新隧装,广东明珠",5
