样本,频率,分组IC,分组IR,多空夏普比率,Top组索替诺比率,Bottom组索替诺比率,轨道,Group_1_ret,Group_2_ret,Group_3_ret,Group_4_ret,Group_5_ret,Group_6_ret,Group_7_ret,Group_8_ret,Group_9_ret,Group_10_ret
全市场,月度,-0.04,-0.19,-1.92,-0.95,0.72,0,10.46%,10.47%,9.74%,7.92%,6.84%,5.31%,2.78%,-0.8%,-6.79%,-20.68%
全市场,月度,-0.07,-0.33,-1.99,-1.0,0.71,1,10.27%,10.41%,8.69%,8.08%,7.07%,5.88%,2.73%,-0.13%,-6.01%,-21.54%
全市场,月度,-0.07,-0.3,-2.07,-1.06,0.71,2,10.27%,10.64%,9.07%,7.92%,7.01%,5.37%,2.54%,-0.95%,-6.71%,-22.44%
全市场,月度,-0.05,-0.22,-2.14,-1.1,0.71,3,10.25%,10.89%,9.41%,8.15%,7.17%,5.41%,2.26%,-1.28%,-6.86%,-23.02%
全市场,月度,-0.08,-0.37,-2.1,-0.98,0.81,4,12.11%,12.56%,11.72%,10.31%,8.78%,6.86%,3.59%,1.01%,-6.13%,-21.19%
全市场,月度,-0.08,-0.33,-2.2,-1.06,0.81,5,11.98%,12.42%,12.02%,10.57%,8.15%,7.3%,4.15%,0.14%,-6.64%,-22.59%
全市场,月度,-0.08,-0.36,-2.19,-1.07,0.8,6,11.89%,12.58%,11.99%,10.81%,7.65%,7.26%,4.4%,-0.52%,-6.49%,-22.81%
全市场,月度,-0.09,-0.43,-2.19,-1.06,0.82,7,12.19%,12.43%,12.09%,10.78%,8.21%,7.06%,5.59%,-0.53%,-6.1%,-22.47%
全市场,月度,-0.09,-0.39,-2.15,-1.02,0.84,8,12.53%,13.41%,12.76%,10.17%,9.07%,6.99%,4.86%,-0.15%,-6.7%,-21.89%
全市场,月度,-0.06,-0.25,-2.14,-1.02,0.85,9,12.73%,13.62%,12.37%,10.44%,8.72%,7.44%,4.29%,-0.09%,-6.94%,-21.64%
全市场,月度,-0.05,-0.21,-2.16,-1.03,0.84,10,12.48%,12.85%,11.92%,10.27%,8.36%,6.36%,3.83%,-0.14%,-7.33%,-21.91%
全市场,月度,-0.08,-0.32,-2.17,-1.05,0.83,11,12.34%,12.77%,12.11%,10.72%,8.59%,6.63%,3.54%,-0.09%,-7.14%,-22.23%
全市场,月度,-0.07,-0.31,-2.19,-1.07,0.83,12,12.36%,13.39%,11.53%,10.85%,9.13%,6.39%,4.45%,0.11%,-7.22%,-22.44%
全市场,月度,-0.08,-0.37,-2.18,-1.09,0.79,13,11.67%,12.65%,11.94%,9.64%,8.9%,5.68%,4.44%,0.13%,-7.62%,-22.83%
全市场,月度,-0.09,-0.39,-2.18,-1.09,0.79,14,11.72%,12.74%,10.74%,9.35%,8.19%,4.8%,4.64%,-0.85%,-8.17%,-22.72%
全市场,月度,-0.08,-0.37,-2.18,-1.1,0.78,15,11.56%,12.23%,10.56%,9.07%,7.15%,5.35%,3.07%,-0.51%,-8.07%,-22.86%
全市场,月度,-0.1,-0.45,-2.27,-1.14,0.81,16,12.2%,13.06%,11.1%,9.14%,7.31%,5.25%,2.59%,-0.48%,-8.21%,-23.67%
全市场,月度,-0.08,-0.37,-2.25,-1.12,0.82,17,12.27%,12.26%,10.93%,8.95%,7.21%,5.12%,2.65%,-0.96%,-8.29%,-23.41%
全市场,月度,-0.07,-0.31,-2.2,-1.11,0.79,18,11.73%,12.7%,11.07%,8.2%,7.68%,5.57%,2.82%,-0.76%,-7.6%,-23.15%
全市场,月度,-0.09,-0.42,-2.18,-1.11,0.77,19,11.39%,11.6%,11.25%,7.96%,7.83%,5.84%,2.19%,-0.4%,-7.35%,-23.22%
